"No.","Time","Source","Destination","Protocol","Length","Info"
"140","0.419546","192.168.0.20","192.168.0.21","SSHv2","104","Server: Protocol (SSH-2.0-OpenSSH_4.7p1 Debian-8ubuntu1)"
"141","0.419555","192.168.0.21","192.168.0.20","TCP","66","58212  >  22 [ACK] Seq=23 Ack=39 Win=64896 Len=0 TSval=2464991869 TSecr=65614243"
"142","0.419735","192.168.0.21","192.168.0.20","SSHv2","738","Client: Key Exchange Init"
"143","0.419804","192.168.0.20","192.168.0.21","TCP","66","22  >  58204 [ACK] Seq=823 Ack=967 Win=8320 Len=0 TSval=65614244 TSecr=2464991832"
"144","0.419867","192.168.0.20","192.168.0.21","TCP","66","22  >  58212 [ACK] Seq=39 Ack=695 Win=7040 Len=0 TSval=65614244 TSecr=2464991869"
"145","0.420017","192.168.0.21","192.168.0.20","SSHv2","82","Client: New Keys"
"146","0.420129","192.168.0.20","192.168.0.21","SSHv2","850","Server: Key Exchange Init"
"147","0.422020","192.168.0.20","192.168.0.21","TCP","66","22  >  58208 [ACK] Seq=1671 Ack=983 Win=8320 Len=0 TSval=65614244 TSecr=2464991869"
"148","0.422032","192.168.0.21","192.168.0.20","SSHv2","118","Client: Encrypted packet (len=52)"
"149","0.422318","192.168.0.20","192.168.0.21","TCP","66","22  >  58208 [ACK] Seq=1671 Ack=1035 Win=8320 Len=0 TSval=65614244 TSecr=2464991871"
"150","0.422329","192.168.0.20","192.168.0.21","SSHv2","118","Server: Encrypted packet (len=52)"
"151","0.423028","192.168.0.21","192.168.0.20","SSHv2","338","Client: Diffie-Hellman Key Exchange Init"
"152","0.423079","192.168.0.21","192.168.0.20","SSHv2","134","Client: Encrypted packet (len=68)"
"153","0.443072","192.168.0.20","192.168.0.21","SSHv2","134","Server: Encrypted packet (len=68)"
"154","0.443178","192.168.0.21","192.168.0.20","SSHv2","150","Client: Encrypted packet (len=84)"
"155","0.444455","192.168.0.20","192.168.0.21","SSHv2","914","Server: Diffie-Hellman Key Exchange Reply, New Keys"
"156","0.447446","192.168.0.21","192.168.0.20","SSHv2","82","Client: New Keys"
"157","0.448958","192.168.0.20","192.168.0.21","SSHv2","104","Server: Protocol (SSH-2.0-OpenSSH_4.7p1 Debian-8ubuntu1)"
"158","0.448970","192.168.0.21","192.168.0.20","TCP","66","58214  >  22 [ACK] Seq=23 Ack=39 Win=64896 Len=0 TSval=2464991898 TSecr=65614246"
"159","0.457568","192.168.0.20","192.168.0.21","TCP","66","22  >  58210 [ACK] Seq=823 Ack=967 Win=8320 Len=0 TSval=65614247 TSecr=2464991859"
"160","0.457577","192.168.0.20","192.168.0.21","TCP","66","22  >  58202 [ACK] Seq=1791 Ack=1187 Win=8320 Len=0 TSval=65614247 TSecr=2464991860"
"161","0.457586","192.168.0.20","192.168.0.21","TCP","66","22  >  58204 [ACK] Seq=1671 Ack=983 Win=8320 Len=0 TSval=65614247 TSecr=2464991896"
"162","0.457594","192.168.0.21","192.168.0.20","SSHv2","118","Client: Encrypted packet (len=52)"
"163","0.457641","192.168.0.21","192.168.0.20","SSHv2","738","Client: Key Exchange Init"
"164","0.457733","192.168.0.20","192.168.0.21","TCP","66","22  >  58214 [ACK] Seq=39 Ack=695 Win=7040 Len=0 TSval=65614247 TSecr=2464991907"
"165","0.457967","192.168.0.20","192.168.0.21","SSHv2","850","Server: Key Exchange Init"
"166","0.459824","192.168.0.20","192.168.0.21","TCP","66","22  >  58212 [ACK] Seq=823 Ack=967 Win=8320 Len=0 TSval=65614248 TSecr=2464991872"
"167","0.460099","192.168.0.21","192.168.0.20","SSHv2","338","Client: Diffie-Hellman Key Exchange Init"
"168","0.467124","192.168.0.20","192.168.0.21","TCP","66","22  >  58204 [ACK] Seq=1671 Ack=1035 Win=8320 Len=0 TSval=65614248 TSecr=2464991907"
"169","0.467140","192.168.0.20","192.168.0.21","SSHv2","118","Server: Encrypted packet (len=52)"
"170","0.467235","192.168.0.21","192.168.0.20","SSHv2","134","Client: Encrypted packet (len=68)"
"171","0.472321","192.168.0.20","192.168.0.21","SSHv2","914","Server: Diffie-Hellman Key Exchange Reply, New Keys"
"172","0.483749","192.168.0.20","192.168.0.21","TCP","66","22  >  58208 [ACK] Seq=1791 Ack=1187 Win=8320 Len=0 TSval=65614250 TSecr=2464991892"
"173","0.511854","192.168.0.20","192.168.0.21","TCP","66","22  >  58214 [ACK] Seq=823 Ack=967 Win=8320 Len=0 TSval=65614252 TSecr=2464991909"
"174","0.512348","192.168.0.20","192.168.0.21","TCP","66","22  >  58204 [ACK] Seq=1723 Ack=1103 Win=8320 Len=0 TSval=65614252 TSecr=2464991916"
"175","0.514258","192.168.0.21","192.168.0.20","TCP","66","58212  >  22 [ACK] Seq=967 Ack=1671 Win=64256 Len=0 TSval=2464991963 TSecr=65614249"
"176","0.515707","192.168.0.21","192.168.0.20","SSHv2","82","Client: New Keys"
"177","0.518230","192.168.0.20","192.168.0.21","TCP","66","22  >  58212 [ACK] Seq=1671 Ack=983 Win=8320 Len=0 TSval=65614253 TSecr=2464991964"
"178","0.518242","192.168.0.21","192.168.0.20","SSHv2","118","Client: Encrypted packet (len=52)"
"179","0.518378","192.168.0.20","192.168.0.21","TCP","66","22  >  58212 [ACK] Seq=1671 Ack=1035 Win=8320 Len=0 TSval=65614253 TSecr=2464991967"
"180","0.518385","192.168.0.20","192.168.0.21","SSHv2","118","Server: Encrypted packet (len=52)"
"181","0.518390","192.168.0.21","192.168.0.20","TCP","66","58212  >  22 [ACK] Seq=1035 Ack=1723 Win=64256 Len=0 TSval=2464991967 TSecr=65614253"
"182","0.518452","192.168.0.21","192.168.0.20","SSHv2","134","Client: Encrypted packet (len=68)"
"183","0.536388","192.168.0.20","192.168.0.21","SSHv2","134","Server: Encrypted packet (len=68)"
"184","0.536501","192.168.0.21","192.168.0.20","SSHv2","150","Client: Encrypted packet (len=84)"
"185","0.536799","192.168.0.20","192.168.0.21","SSHv2","104","Server: Protocol (SSH-2.0-OpenSSH_4.7p1 Debian-8ubuntu1)"
"186","0.536817","192.168.0.21","192.168.0.20","TCP","66","58216  >  22 [ACK] Seq=23 Ack=39 Win=64896 Len=0 TSval=2464991986 TSecr=65614255"
